,precision,recall,f1-score,support
001,0.0,0.0,0.0,5.0
002,0.0,0.0,0.0,5.0
003,0.0,0.0,0.0,5.0
049,0.0,0.0,0.0,5.0
050,0.0,0.0,0.0,5.0
051,0.0,0.0,0.0,5.0
052,0.0,0.0,0.0,5.0
053,0.0,0.0,0.0,5.0
054,0.0,0.0,0.0,5.0
055,0.0,0.0,0.0,5.0
056,0.0,0.0,0.0,5.0
057,0.0,0.0,0.0,5.0
058,0.0,0.0,0.0,5.0
059,0.0,0.0,0.0,5.0
060,0.0,0.0,0.0,5.0
061,0.0,0.0,0.0,5.0
062,0.0,0.0,0.0,5.0
063,0.0,0.0,0.0,5.0
064,0.0417,1.0,0.08,5.0
065,0.0,0.0,0.0,5.0
066,0.0,0.0,0.0,5.0
067,0.0,0.0,0.0,5.0
068,0.0,0.0,0.0,5.0
069,0.0,0.0,0.0,5.0
accuracy,0.0417,0.0417,0.0417,0.0417
macro avg,0.0017,0.0417,0.0033,120.0
weighted avg,0.0017,0.0417,0.0033,120.0
